year,palette_id,palette_name,count,percentage
2006,006,Willow Mouse Gray,4,0.6535947712418301
2006,007,Nightingale Brown,64,10.457516339869281
2006,008,Seaweed Brown,22,3.5947712418300655
2006,009,Navy Blue,12,1.9607843137254901
2006,010,Crimson,1,0.16339869281045752
2006,011,Nightingale Green,4,0.6535947712418301
2006,012,Siskin Brown,1,0.16339869281045752
2006,014,Azuki Bean Red,3,0.49019607843137253
2006,017,Peony Pink,1,0.16339869281045752
2006,024,Crimson Red,1,0.16339869281045752
2006,026,Mouse Gray,55,8.986928104575163
2006,027,Ink Black,143,23.366013071895424
2006,031,Burnt Sienna,19,3.104575163398693
2006,036,Lavender,1,0.16339869281045752
2006,040,Gold,1,0.16339869281045752
2007,001,Plum Mouse Gray,170,24.963289280469898
2007,002,Shrimp Brown,12,1.7621145374449338
2007,003,Fukagawa Mouse Gray,21,3.0837004405286343
2007,004,Cherry Mouse Gray,36,5.286343612334802
2007,005,Indigo Mouse Gray,61,8.95741556534508
2007,006,Willow Mouse Gray,2,0.2936857562408223
2007,007,Nightingale Brown,77,11.30690161527166
2007,008,Seaweed Brown,24,3.5242290748898677
2007,009,Navy Blue,9,1.3215859030837005
2007,011,Nightingale Green,5,0.7342143906020558
2007,012,Siskin Brown,1,0.14684287812041116
2007,014,Azuki Bean Red,4,0.5873715124816447
2007,016,Mustard,1,0.14684287812041116
2007,017,Peony Pink,1,0.14684287812041116
2007,020,Peach,2,0.2936857562408223
2007,026,Mouse Gray,60,8.810572687224669
2007,027,Ink Black,178,26.138032305433185
2007,031,Burnt Sienna,13,1.908957415565345
2007,037,Olive,1,0.14684287812041116
2007,038,Maroon,3,0.44052863436123346
2008,001,Plum Mouse Gray,182,22.386223862238623
2008,002,Shrimp Brown,24,2.952029520295203
2008,003,Fukagawa Mouse Gray,22,2.706027060270603
2008,004,Cherry Mouse Gray,38,4.674046740467404
2008,005,Indigo Mouse Gray,73,8.979089790897909
2008,006,Willow Mouse Gray,6,0.7380073800738007
2008,007,Nightingale Brown,65,7.995079950799508
2008,008,Seaweed Brown,23,2.8290282902829027
2008,009,Navy Blue,20,2.4600246002460024
2008,010,Crimson,6,0.7380073800738007
2008,011,Nightingale Green,3,0.36900369003690037
2008,014,Azuki Bean Red,3,0.36900369003690037
2008,016,Mustard,1,0.12300123001230012
2008,017,Peony Pink,1,0.12300123001230012
2008,024,Crimson Red,2,0.24600246002460024
2008,026,Mouse Gray,122,15.006150061500614
2008,027,Ink Black,185,22.755227552275525
2008,031,Burnt Sienna,30,3.690036900369004
2008,036,Lavender,1,0.12300123001230012
2008,037,Olive,2,0.24600246002460024
2008,038,Maroon,2,0.24600246002460024
2008,040,Gold,2,0.24600246002460024
2009,001,Plum Mouse Gray,182,18.346774193548388
2009,002,Shrimp Brown,34,3.4274193548387095
2009,003,Fukagawa Mouse Gray,16,1.6129032258064515
2009,004,Cherry Mouse Gray,76,7.661290322580645
2009,005,Indigo Mouse Gray,109,10.987903225806452
2009,006,Willow Mouse Gray,1,0.10080645161290322
2009,007,Nightingale Brown,73,7.358870967741935
2009,008,Seaweed Brown,16,1.6129032258064515
2009,009,Navy Blue,9,0.907258064516129
2009,010,Crimson,3,0.3024193548387097
2009,011,Nightingale Green,6,0.6048387096774194
2009,012,Siskin Brown,1,0.10080645161290322
2009,014,Azuki Bean Red,3,0.3024193548387097
2009,016,Mustard,1,0.10080645161290322
2009,017,Peony Pink,1,0.10080645161290322
2009,024,Crimson Red,2,0.20161290322580644
2009,026,Mouse Gray,141,14.213709677419354
2009,027,Ink Black,251,25.302419354838708
2009,031,Burnt Sienna,59,5.94758064516129
2009,034,Coral,3,0.3024193548387097
2009,036,Lavender,1,0.10080645161290322
2009,038,Maroon,3,0.3024193548387097
2009,040,Gold,1,0.10080645161290322
2010,001,Plum Mouse Gray,227,17.944664031620555
2010,002,Shrimp Brown,59,4.664031620553359
2010,003,Fukagawa Mouse Gray,27,2.1343873517786562
2010,004,Cherry Mouse Gray,116,9.1699604743083
2010,005,Indigo Mouse Gray,151,11.936758893280633
2010,006,Willow Mouse Gray,2,0.15810276679841898
2010,007,Nightingale Brown,82,6.482213438735178
2010,008,Seaweed Brown,9,0.7114624505928854
2010,009,Navy Blue,24,1.8972332015810276
2010,010,Crimson,3,0.23715415019762845
2010,011,Nightingale Green,3,0.23715415019762845
2010,012,Siskin Brown,1,0.07905138339920949
2010,014,Azuki Bean Red,1,0.07905138339920949
2010,015,Water Blue,1,0.07905138339920949
2010,016,Mustard,1,0.07905138339920949
2010,019,Yamabuki Yellow,1,0.07905138339920949
2010,023,Light Indigo,1,0.07905138339920949
2010,024,Crimson Red,4,0.31620553359683795
2010,025,Purple,1,0.07905138339920949
2010,026,Mouse Gray,160,12.648221343873518
2010,027,Ink Black,321,25.375494071146246
2010,030,Cherry Blossom Pink,1,0.07905138339920949
2010,031,Burnt Sienna,57,4.5059288537549405
2010,032,Slate Blue,1,0.07905138339920949
2010,034,Coral,2,0.15810276679841898
2010,036,Lavender,1,0.07905138339920949
2010,038,Maroon,2,0.15810276679841898
2010,040,Gold,6,0.4743083003952569
2011,001,Plum Mouse Gray,272,20.66869300911854
2011,002,Shrimp Brown,35,2.6595744680851063
2011,003,Fukagawa Mouse Gray,21,1.5957446808510638
2011,004,Cherry Mouse Gray,118,8.966565349544073
2011,005,Indigo Mouse Gray,114,8.662613981762918
2011,006,Willow Mouse Gray,3,0.22796352583586627
2011,007,Nightingale Brown,124,9.422492401215806
2011,008,Seaweed Brown,21,1.5957446808510638
2011,009,Navy Blue,25,1.8996960486322187
2011,010,Crimson,10,0.7598784194528876
2011,011,Nightingale Green,11,0.8358662613981763
2011,014,Azuki Bean Red,5,0.3799392097264438
2011,016,Mustard,2,0.1519756838905775
2011,024,Crimson Red,6,0.45592705167173253
2011,026,Mouse Gray,114,8.662613981762918
2011,027,Ink Black,369,28.03951367781155
2011,031,Burnt Sienna,58,4.407294832826747
2011,034,Coral,2,0.1519756838905775
2011,035,Teal,1,0.07598784194528875
2011,036,Lavender,1,0.07598784194528875
2011,037,Olive,1,0.07598784194528875
2011,038,Maroon,3,0.22796352583586627
2012,001,Plum Mouse Gray,279,17.275541795665635
2012,002,Shrimp Brown,64,3.9628482972136223
2012,003,Fukagawa Mouse Gray,60,3.7151702786377707
2012,004,Cherry Mouse Gray,164,10.154798761609907
2012,005,Indigo Mouse Gray,129,7.987616099071207
2012,006,Willow Mouse Gray,4,0.2476780185758514
2012,007,Nightingale Brown,120,7.430340557275541
2012,008,Seaweed Brown,15,0.9287925696594427
2012,009,Navy Blue,34,2.1052631578947367
2012,010,Crimson,19,1.1764705882352942
2012,011,Nightingale Green,8,0.4953560371517028
2012,012,Siskin Brown,2,0.1238390092879257
2012,014,Azuki Bean Red,6,0.3715170278637771
2012,016,Mustard,6,0.3715170278637771
2012,017,Peony Pink,1,0.06191950464396285
2012,020,Peach,3,0.18575851393188855
2012,024,Crimson Red,5,0.30959752321981426
2012,026,Mouse Gray,167,10.340557275541796
2012,027,Ink Black,430,26.625386996904023
2012,030,Cherry Blossom Pink,1,0.06191950464396285
